iter	Passed	Remaining
929	3396	255
930	3398	251
931	3401	248
932	3404	244
933	3406	240
934	3409	237
935	3412	233
936	3416	229
937	3422	226
938	3424	222
939	3426	218
940	3429	215
941	3432	211
942	3438	207
943	3441	204
944	3443	200
945	3446	196
946	3448	193
947	3457	189
948	3459	185
949	3462	182
950	3464	178
951	3467	174
952	3469	171
953	3472	167
954	3474	163
955	3480	160
956	3482	156
957	3485	152
958	3488	149
959	3490	145
960	3496	141
961	3499	138
962	3502	134
963	3506	130
964	3513	127
965	3515	123
966	3517	120
967	3520	116
968	3523	112
969	3530	109
970	3532	105
971	3535	101
972	3537	98
973	3543	94
974	3545	90
975	3548	87
976	3550	83
977	3553	79
978	3558	76
979	3561	72
980	3564	69
981	3566	65
982	3568	61
983	3574	58
984	3577	54
985	3579	50
986	3582	47
987	3584	43
988	3590	39
989	3593	36
990	3595	32
991	3597	29
992	3600	25
993	3605	21
994	3608	18
995	3610	14
996	3615	10
997	3621	7
998	3624	3
999	3626	0
